modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
churn_hsi,witel,REG-4,KALSELTENG,20,3,61.2347,65.4734,26.6722,23.077,0.2337,0.6141,LULUS,2026-05-21 09:17:19
churn_hsi,witel,REG-4,KALTIMTARA,20,3,39.4288,44.033,14.9357,16.4925,0.1364,0.7801,LULUS,2026-05-21 09:17:44
churn_hsi,witel,REG-5,PAPUA,20,3,19.7377,22.2533,23.7674,27.8097,0.219,0.6692,LULUS,2026-05-21 09:19:03
churn_hsi,witel,REG-5,PAPUA BARAT,20,3,27.7544,33.3183,29.4976,30.5241,0.2918,0.5958,GAGAL,2026-05-21 09:19:22
churn_hsi,witel,REG-5,SULBAGSEL,20,3,186.1383,237.7768,23.6336,28.5733,0.7805,0.0551,LULUS,2026-05-21 09:21:28
churn_hsi,witel,REG-5,SULBAGTENG,20,3,32.3176,35.6311,18.5927,18.3453,0.131,0.7647,LULUS,2026-05-21 09:20:39
churn_hsi,witel,REG-5,SUMALUT,20,3,108.5556,119.5542,22.6775,23.212,0.5351,0.1998,LULUS,2026-05-21 09:22:14
fulfillment_rate,nasional,NASIONAL,-,55,6,3.0591,5.5779,0.6118,0.6071,0.0313,0.0,LULUS,2026-05-21 09:28:43
fulfillment_rate,regional,REG-1,-,45,6,0.0001,0.0001,0.0001,0.0001,5213.4197,0.0,LULUS,2026-05-21 09:29:07
fulfillment_rate,regional,REG-2,-,45,6,0.0005,0.0011,0.0005,0.0005,51116.9434,0.0,LULUS,2026-05-21 09:30:13
fulfillment_rate,regional,REG-3,-,53,6,0.0001,0.0001,0.0001,0.0001,5213.4197,0.0,LULUS,2026-05-21 09:31:42
fulfillment_rate,regional,REG-4,-,43,6,0.0003,0.0004,0.0003,0.0003,25685.6292,0.0,LULUS,2026-05-21 09:32:58
fulfillment_rate,regional,REG-5,-,46,6,0.0001,0.0001,0.0001,0.0001,12842.8146,0.0,LULUS,2026-05-21 09:33:37
fulfillment_rate,witel,REG-1,ACEH,42,6,0.0002,0.0003,0.0002,0.0002,16276.0422,0.0,LULUS,2026-05-21 09:29:15
fulfillment_rate,witel,REG-1,LAMPUNG BENGKULU,43,6,0.0005,0.0009,0.0005,0.0005,45776.3672,0.0,LULUS,2026-05-21 09:29:24
